branch,city,kifle_ketema,direction,building,flat,phone,name
Accounting And Finance Department,Addis Ababa City,Kirkos,Mexico Kebele: 01/19,Infront Of Wabi Shebelle Hotel,,+251-11-5157558,Addis Ababa University
,Axum City,Axum,Addis Ababa Mahber Kebele: -,Around Addis Ababa Mahber,,+251-91-4743952,Mahber Terado Kal-kidanawi Axum
,Addis Ababa City,Kirkos,Mexico Kebele: 01/19,In front of Federal Revenues and Customs Autority,5th Floor,+251-11-5548055,Meyak Engenering P.L.C
,Addis Ababa City,Kirkos,Gotera Kebele: 01/19,Behind St. Yared Church Infront Of Hanan Guest House 1st Floor,,+251-11-4706463,City Council of Addis Ababa the Speaker Office
Agaro Branch,Agaro City,Agaro,06 Sefer Kebele: -,Around police Station,,+251-47-2212194/95   +251-47-2214346   +251-47-2211048/2211162 P.O.Box 34,Commercial Bank of Ethiopia
Kombolecha Amara branch,Kombolcha City,Kombolecha,Shisha Ber Kebele: 02,Around Industry Collage,,+251-33-5511479,Ethiopian Revenues and Customs Authority
Head Office,Addis Ababa City,Bole,Hayhulet Mazoria Kebele: 01,Infront of Ethiopian Tourist Trading Enterprise On Meklit Building 3rd Floor,,+251-11-8333420,Addis Ababa City Administration Drivers and Vehicles License and Control Authority
,Addis Ababa City,Addis Ketema,Mesalemya Kebele: 16/17,Yekatite23 High School,,+251-11-8959781,Addis Ketema Kifle Ketema
Arada,Addis Ababa City,Arada,Sostegna Police Tabia Kebele: 01/02,Inside Gulele Subcity Administration,,+251-11-1260810/24   +251-11-1113342   +251-11-1260810   / 955,Addis Ababa Water Supply & Sewerage Authority (Water Maintenance Survice)
,Addis Ababa City,Arada,Arada Giorgis Kebele: 10,Inside Mezegaja Office gebi,,+251-11-1562769   +251-11-1559418,Addis Ababa City Administration Mass Media Agency
Mizan Tepi Branch   Working Hour: Mon-Sat 8:30am-5:30pm (fulltime),Mizan Tepi City,Mizan Tepi,Menaharia Kebele: _,Neer Mizan Square Maryame Church,,+251-47-3350229,Red Cross Pharmacy
Addis Ababa Liaison Offices,Addis Ababa City,Arada,Arat Kilo Kebele: 01/02,Inside Romina Restaurant and Cafe,,+251-11-8963563,Debre Brehan University
Addis Ababa Liaison Offices,Addis Ababa City,Arada,Arat Kilo Kebele: 01/02,Romina Restaurant and Cafe in the building,,+251-11-1571847,Haromaya University
,Gondar City,Gondar,Gonder Universtiy Kebele: -,Around Marki Cafe,,+251-58-1141232,Gonder University
,Addis Ababa City,Addis Ketema,Merkato Kebele: 01/02/03,Merkato Around   House No.: 9999,4th Floor,+251-91-1406400,Addis ababa Commercial Center Merkato S.C
,Addis Ababa City,Bole,Bole Michael Kebele: 01,Around Bole Michael,,+251-93-6089303/02,Eagle Express Bas
(Awash Bank) Agaro Branch,Agaro City,Agaro,04 Kebele Kebele: 05,Near Haji kamal Building,,+251-47-2211746 Fax: +251-47-2211841 P.O.Box 12638 Website/Email: awash.bank@ethionet.et    web:- www.awashbank.com,Awash Bank S.C
,Addis Ababa City,Addis Ketema,Addis Ketema Kebele: 13/15,Near Ambassel Music Shop,,251-11-2763819,Addis Alem Tailor
Jimma Branch,Jimma City,Jimma,Central Cafe Kebele: -,In front of Central Cafteria,,+251-91-7800007   +251-47-1122232 Fax: +251-47-1122233,Nib Insurance Company S.C
Wolaita Sodo Branch,Wolayta Sodo City,Wolayta Sodo,Menaheria Kebele: -,In Front of Bekele Molla,,+251-46-1800020,Nib International Bank S.C
Addis Ketema Sub City Police Department,Addis Ababa City,Addis Ketema,Sefere Selam Kebele: 01/02/03,abebe bikila Stadium,,+251-11-2734374,Addis Ketema Police Station
,Addis Ababa City,Nefassilk Lafto,Adey Abeba Kebele: 01,In Side Old Adeye Ababa,,+251-11-4422300,Yirgalem Addis Textile
,Addis Ababa City,Kirkos,Hayahulet Mazoria Kebele: 01/19,Around Getahun Beshah Building,,+251-92-6845086 Website/Email: web:-www.abyssiniaballooning.com    info@abyssiniaballooning.com,Abyssinia Ballooning
,Addis Ababa City,Addis Ketema,Addis Ketema Kebele: 06/07,In front of Cinima Ras,,+251-11-2768124,Ghion Stationery
