name,address
Addis Ababa University,"Degree ,Diploma, Masters and Doctorate School Branch: Accounting And Finance Department  City: Addis Ababa City  Kifle Ketema: Kirkos  Sefer: Mexico Kebele: 01/19 Direction: Infront Of Wabi Shebelle Hotel   Building:   Branch:   Flat: Phone: +251-11-5157558"
Mahber Terado Kal-kidanawi Axum,NGO City: Axum City  Kifle Ketema: Axum  Sefer: Addis Ababa Mahber Kebele: - Direction: Around Addis Ababa Mahber   Building:   Branch:   Flat: Phone: +251-91-4743952
Meyak Engenering P.L.C,Import Construction Machinery and Mixer Factory City: Addis Ababa City  Kifle Ketema: Kirkos  Sefer: Mexico Kebele: 01/19 Direction: In front of Federal Revenues and Customs Autority   Building: Addis Ababa Chamber of Commerce   Branch:   Flat: 5th Floor Phone: +251-11-5548055
City Council of Addis Ababa the Speaker Office,City Council of Addis Ababa the Speaker Office City: Addis Ababa City  Kifle Ketema: Kirkos  Sefer: Gotera Kebele: 01/19 Direction: Behind St. Yared Church Infront Of Hanan Guest House 1st Floor   Building:   Branch:   Flat: Phone: +251-11-4706463
Commercial Bank of Ethiopia,"Local Money Saving, Check Deposit & Any kind of Bank Services Branch: Agaro Branch  City: Agaro City  Kifle Ketema: Agaro  Sefer: 06 Sefer Kebele: - Direction: Around police Station   Building:   Branch:   Flat: Phone: +251-47-2212194/95   +251-47-2214346   +251-47-2211048/2211162 P.O.Box 34"
Ethiopian Revenues and Customs Authority,Ministry Branch: Kombolecha Amara branch  City: Kombolcha City  Kifle Ketema: Kombolecha  Sefer: Shisha Ber Kebele: 02 Direction: Around Industry Collage   Building:   Branch:   Flat: Phone: +251-33-5511479
Addis Ababa City Administration Drivers and Vehicles License and Control Authority,Governmental Office Branch: Head Office  City: Addis Ababa City  Kifle Ketema: Bole  Sefer: Hayhulet Mazoria Kebele: 01 Direction: Infront of Ethiopian Tourist Trading Enterprise On Meklit Building 3rd Floor   Building:   Branch:   Flat: Phone: +251-11-8333420
Addis Ketema Kifle Ketema,Kifle Ketema City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Mesalemya Kebele: 16/17 Direction: Yekatite23 High School   Building: Sowa Tsega Building   Branch:   Flat: Phone: +251-11-8959781
Addis Ababa Water Supply & Sewerage Authority (Water Maintenance Survice),Water Survice Branch: Arada  City: Addis Ababa City  Kifle Ketema: Arada  Sefer: Sostegna Police Tabia Kebele: 01/02 Direction: Inside Gulele Subcity Administration   Building:   Branch:   Flat: Phone: +251-11-1260810/24   +251-11-1113342   +251-11-1260810   / 955
Addis Ababa City Administration Mass Media Agency,"Addis Ababa City Administration TV Program, Radio 96.3 and Addis Lisan Newspaper City: Addis Ababa City  Kifle Ketema: Arada  Sefer: Arada Giorgis Kebele: 10 Direction: Inside Mezegaja Office gebi   Building:   Branch:   Flat: Phone: +251-11-1562769   +251-11-1559418"
Red Cross Pharmacy,Pharmacy Branch: Mizan Tepi Branch   Working Hour: Mon-Sat 8:30am-5:30pm (fulltime)  City: Mizan Tepi City  Kifle Ketema: Mizan Tepi  Sefer: Menaharia Kebele: _ Direction: Neer Mizan Square Maryame Church   Building:   Branch:   Flat: Phone: +251-47-3350229
Debre Brehan University,University Branch: Addis Ababa Liaison Offices  City: Addis Ababa City  Kifle Ketema: Arada  Sefer: Arat Kilo Kebele: 01/02 Direction: Inside Romina Restaurant and Cafe   Building:   Branch:   Flat: Phone: +251-11-8963563
Haromaya University,University Branch: Addis Ababa Liaison Offices   City: Addis Ababa City  Kifle Ketema: Arada  Sefer: Arat Kilo Kebele: 01/02 Direction: Romina Restaurant and Cafe in the building   Building:   Branch:   Flat: Phone: +251-11-1571847
Gonder University,"Degree, Diploma, Masters and Doctorate School City: Gondar City  Kifle Ketema: Gondar  Sefer: Gonder Universtiy Kebele: - Direction: Around Marki Cafe   Building:   Branch:   Flat: Phone: +251-58-1141232"
Addis ababa Commercial Center Merkato S.C,Shop & Office Rent City: Addis Ababa City  Kifle Ketema: Addis Ketema  Sefer: Merkato Kebele: 01/02/03 Direction: Merkato Around   House No.: 9999 Building: Addis Abeba Trade Enterprise   Branch:   Flat: 4th Floor Phone: +251-91-1406400
